Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count,Unemployment Rate
68005,24163,34.2,53794.0,25101,13.99246782,41.1596468,-95.90927540000001,32,5.078011836278608
11722,38241,33.1,67023.0,21935,10.82869172,40.7881249,-73.1939612,114,5.912502288120081
48659,2781,43.1,44315.0,19879,12.54944265,44.1093153,-83.9955879,0,3.9554117224020136
55342,2065,42.2,55982.0,26832,7.89346247,44.7137564,-94.76915859999998,1,3.9225181598062955
28395,1953,39.5,39813.0,23319,18.02355351,35.1401497,-78.7589558,1,6.298003072196621
79703,21214,30.5,57842.0,23946,8.80079193,31.981042300000002,-102.1346874,79,2.257942867917413
58075,9028,35.9,51179.0,27588,12.72707133,46.2817215,-96.69927779999999,11,2.071333628710678
33025,57766,32.9,51822.0,23660,12.01398747,25.9906428,-80.2793593,112,6.3480247896686635
47367,123,39.8,41250.0,16255,0.0,40.07752670000001,-85.39175990000001,0,0.0
13335,1721,41.4,52083.0,22636,12.66705404,42.7015231,-75.27123929999999,1,5.57815223707147
19076,6606,36.2,67727.0,26908,10.44504995,39.885086,-75.3091483,144,3.9509536784741144
68147,10339,33.0,53997.0,22024,17.55488925,41.177520799999996,-95.95153990000001,61,3.0273720862752684
84764,163,27.0,38750.0,19698,24.5398773,37.621533500000005,-112.1549442,1,0.0
38229,2948,43.5,36800.0,19886,17.33378562,36.2334,-88.61448390000001,2,4.274084124830393
70748,6440,43.0,41489.0,17350,17.14285714,30.8328549,-91.20252070000001,2,1.7080745341614907
97711,123,34.5,27188.0,12480,41.46341463,44.7135374,-120.61496840000001,0,7.317073170731708
50315,35873,34.4,41793.0,20989,16.15421069,41.534655799999996,-93.6116494,55,5.223984612382572
23228,33844,35.1,44224.0,23998,15.56258126,37.616445299999995,-77.4816693,115,5.939014300910058
32535,6015,37.8,34107.0,13066,14.28096426,30.9724762,-87.37114770000001,0,4.538653366583541
49893,2008,47.9,59696.0,27882,8.964143426,45.293275200000004,-87.6120353,0,3.8844621513944224
38504,1167,38.6,46786.0,19634,9.340188518,36.396687899999996,-84.7420032,0,3.770351328191945
5483,1481,35.9,65039.0,24743,7.4949358539999995,46.738712400000004,-92.2849525,2,1.2153950033760972
93954,222,31.8,39167.0,12520,40.54054054,36.118472600000004,-120.95894960000001,0,13.513513513513514
13635,837,46.0,33194.0,21320,17.68219833,44.2825835,-75.2452318,0,5.615292712066906
3048,3513,43.6,62321.0,28864,11.07315685,32.4402155,-91.7290464,5,5.60774267008255
17097,746,44.6,49904.0,25655,6.702412869,40.572084999999994,-76.6860267,3,4.825737265415549
22027,2567,44.9,187768.0,61580,4.830541488,38.8934705,-77.22039659999999,196,4.830541488118426
97146,5795,40.1,41192.0,23133,17.01466782,46.1278512,-123.92744099999999,3,4.728213977566868
47670,12140,39.5,45915.0,23971,12.42174629,38.354474700000004,-87.5593613,10,3.896210873146623
43050,28612,41.9,42576.0,23495,16.33230812,40.3521894,-82.51858370000001,11,4.526072976373549
39097,495,58.0,26838.0,17399,34.94949495,33.0100039,-90.58253590000001,0,5.252525252525253
93925,1708,32.5,70909.0,23642,7.142857143,36.5999881,-121.37703359999999,0,4.508196721311475
33029,47086,36.6,88264.0,30976,3.32370556,25.9839048,-80.4326521,14,5.7639213354287895
74066,31116,38.9,44675.0,22844,13.51716159,35.998095899999996,-96.13149279999999,13,3.911171101684021
85553,1441,64.6,36442.0,28245,16.93268563,33.8102795,-111.2368084,0,0.0
7718,6143,40.5,87398.0,36267,6.82077161,29.091596000000003,-98.8632494,6,7.520755331271366
74456,231,30.6,27750.0,16345,23.37662338,35.7124995,-95.9918507,2,1.7316017316017316
32187,1996,46.5,30300.0,18933,15.88176353,29.5775097,-81.5486728,0,4.809619238476954
59529,143,57.2,115938.0,70966,1.3986013990000001,48.7645002,-108.7498486,0,0.0
45646,361,41.3,82604.0,28220,7.202216066,39.0791318,-83.34687840000001,0,4.43213296398892
6801,18911,40.9,85884.0,38941,3.870763048,47.3810193,-92.64285140000001,0,5.806144571942256
1585,4646,45.7,62667.0,31262,10.03013345,36.834942600000005,-87.70381809999999,0,5.832974601808007
72036,757,47.0,22361.0,13850,26.68428005,35.0101733,-91.2698475,0,5.1519154557463676
8540,47316,37.5,125439.0,61810,4.161383042,39.851778499999995,-106.8455943,0,3.068729393862541
25111,723,43.4,36417.0,15064,32.08852006,38.3920732,-81.1526976,0,0.6915629322268326
65243,3176,29.3,55885.0,16802,25.15743073,39.280975500000004,-92.3427191,1,3.9672544080604535
14411,14257,39.9,42967.0,18461,13.60735078,43.2229834,-78.24761459999999,5,4.83271375464684
62449,2971,41.5,46765.0,25332,8.347357792,39.0104562,-87.89424509999999,3,2.4907438572871086
35956,8716,40.0,46844.0,19615,12.32216613,34.1586286,-86.11410450000001,11,4.210647085819183
82934,239,33.1,32450.0,13016,7.112970711,41.5937675,-109.9973244,0,4.602510460251046
12789,1887,37.5,51827.0,23318,10.81081081,41.691885799999994,-74.58147729999999,4,10.651828298887123
59087,506,48.3,41250.0,22816,10.27667984,47.0113803,-108.2242196,0,1.1857707509881423
28226,37412,41.1,68291.0,48777,6.388324602000001,35.1173473,-80.7990185,113,4.188495669838554
15018,668,44.1,50588.0,20773,13.32335329,40.286781,-79.7876449,15,6.137724550898204
78351,564,37.0,36985.0,16011,20.74468085,27.665438199999997,-97.7538935,0,0.5319148936170213
99506,7499,22.0,60753.0,19565,4.867315641999999,61.274403099999994,-149.7871533,10,2.0002667022269636
28208,34474,32.9,28435.0,14056,31.94001276,35.212973,-80.9097127,99,11.28676683877705
95246,1207,52.8,47379.0,29646,5.21955261,38.244955299999994,-120.50487920000002,0,6.296603148301574
63014,467,48.4,32188.0,19712,22.48394004,38.666228600000004,-91.3469247,1,1.7130620985010707
6422,7380,42.5,124179.0,47679,0.93495935,40.1936997,-105.85149720000001,1,2.7235772357723578
46312,29584,29.8,27583.0,13497,35.46849648,41.642826899999996,-87.45048879999999,51,6.202677122769065
60091,27268,43.8,129551.0,67089,2.9778494939999995,42.080574299999995,-87.7320368,151,1.8813260965233973
58503,27196,37.3,81341.0,38377,4.416090602,46.8871785,-100.7209975,17,1.6583321076628916
14715,2763,40.2,45030.0,22257,15.63517915,42.0765655,-78.1792434,2,4.632645674990952
97721,610,30.7,27321.0,11412,50.98360656,42.58252,-118.521529,0,2.1311475409836067
49098,6388,37.0,42237.0,18480,21.08641202,42.1549524,-86.23617440000001,5,5.682529743268629
10303,24537,31.1,51537.0,22077,21.82825936,40.6311444,-74.1739057,174,4.01027020418144
76950,4069,35.5,53500.0,27732,7.176210371,30.3776869,-100.5296115,0,0.8847382649299582
72315,24120,34.4,37044.0,19837,23.58623549,35.8933774,-89.9066314,15,4.776119402985074
67839,1251,46.8,49773.0,30282,9.67226219,38.4456222,-100.3497895,0,2.0783373301358914
18237,3848,39.1,42140.0,20172,11.9022869,40.8888417,-75.9985693,13,6.133056133056133
3276,8394,41.9,58449.0,25690,13.17607815,32.2819566,-93.785344,2,2.573266619013581
94040,33852,35.7,99375.0,54558,8.599196502,37.3785351,-122.08658500000001,102,3.80184331797235
24281,2691,37.6,22902.0,15557,37.08658491,36.6591508,-83.3148018,2,6.726124117428466
23055,936,48.0,59648.0,21737,1.388888889,37.7788311,-78.2362225,1,0.0
52315,958,42.4,61750.0,27831,1.461377871,42.00128839999999,-92.0077316,2,1.1482254697286012
61062,1964,40.7,60000.0,26087,9.266802444,42.2755343,-89.81303559999999,1,4.175152749490835
83122,469,36.1,83333.0,28556,0.0,42.82182589999999,-110.95662450000002,0,2.55863539445629
40060,1115,44.2,40813.0,18390,14.08071749,37.530278499999994,-85.4581859,0,5.560538116591928
