Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count
61067,645,49.6,40726,37925,8.062015504,42.3040907,-89.4836688,0
47926,932,35.9,50469,20121,8.690987124,40.7163401,-86.5905371,1
47436,1557,42.5,42042,18000,10.46885035,38.963881,-86.4086061,0
63138,20863,30.3,33691,17488,25.58596559,38.7994436,-90.2057108,17
88353,534,26.9,30179,12829,13.48314607,34.5290087,-105.1258955,0
52217,447,47.8,40625,22426,7.606263982,42.07293,-92.4011124,1
37101,6388,41.1,50398,21198,12.7269881,36.0444297,-87.6383797,2
98012,52351,37.2,88283,39165,5.810777254,47.837259,-122.2155192,121
71031,1012,49.8,44250,20250,14.92094862,32.0275947,-92.9175955,0
78565,216,41.3,8611,5960,90.27777778,26.2378647,-98.5583676,2
45780,3351,41,33892,17139,28.79737392,39.3676641,-82.1305609,15
82932,1032,35.9,91115,40005,2.228682171,42.1543456,-109.4259114,0
98270,46105,35.2,65130,26833,12.85543867,48.0563616,-122.1492224,40
22834,1092,38.6,40357,30224,8.882783883,38.5503911,-78.8722341,1
62613,3774,37.8,60284,28806,5.908850026,40.0013284,-89.6816208,1
32444,19205,40.2,61233,28643,10.77323614,30.2371159,-85.6537627,34
28663,709,39.6,36000,20294,13.39915374,36.5401134,-81.3069315,0
18042,41921,35.2,45441,23227,15.42663581,40.6551234,-75.2128996,55
55802,2212,59.5,24674,31860,25.36166365,46.7534028,-92.0681618,44
77039,28151,27.2,38167,12255,29.73961849,29.9068387,-95.3363951,34
19944,551,63.7,62000,56948,2.359346642,38.4656784,-75.0552739,12
50525,3491,42.2,39200,25499,16.06989401,42.7624458,-93.7841503,5
44273,6704,44.5,65368,30043,5.235680191,41.0123359,-81.8442934,13
17051,4693,42.6,43234,19984,9.71659919,40.4491629,-77.7680952,1
76706,36055,22.6,26398,14613,38.15004854,31.456042,-97.0713572,1
23219,3284,25.4,19231,24403,38.79415347,37.5410261,-77.4386429,112
12723,2196,43.2,58102,25249,11.70309654,41.7682361,-75.0026972,5
64081,23549,41.3,76684,35039,5.507664869,38.9119463,-94.4136213,63
92310,9049,22.7,49778,19066,7.768814234,35.2682707,-116.7142835,2
38339,574,40.5,44500,21109,26.65505226,35.0627165,-88.5081765,1
5454,4754,38.7,74911,31192,2.692469499,47.3956791,8.3486479,66
12450,204,58.7,22200,20052,15.68627451,42.127653,-74.2296713,0
58259,384,54.1,48295,31803,4.947916667,48.0513919,-98.1299519,1
96818,51522,31.3,70850,26894,8.551686658,21.34853,-157.9583246,45
42025,19744,43.2,42310,21348,11.51742301,36.8138037,-88.362785,10
47003,1029,41,39519,19997,16.71525753,39.5221256,-84.8411536,10
29468,1768,43.8,19663,28526,37.27375566,33.4205299,-80.0758425,0
83849,1780,49,37946,22393,5.561797753,47.5379603,-115.9890696,3
13326,5456,50.4,57375,35094,8.431085044,42.7284259,-74.8974925,8
93605,243,49.2,84375,34293,1.646090535,37.1890642,-119.2437011,0
